Empty,Id,Label,Type
x,0,r_IM,Resources
x,1,r_KM,Resources
x,2,r_KM_IM,Resources
x,3,r_LS,Resources
x,4,r_IM_LS,Resources
x,5,r_SC,Resources
x,6,r_C2,Resources
x,7,r_DF,Resources
x,8,r_KM_IM_LS,Resources
x,9,r_DF_IM,Resources
x,10,r_KM_LS,Resources
x,11,r_KM_DF,Resources
x,12,r_KM_ICM,Resources
x,13,r_ICM,Resources
x,14,r_C2_IM,Resources
x,15,r_C2_DF,Resources
x,16,r_SC_IM,Resources
x,17,r_KM_DF_IM,Resources
x,18,r_KM_IM_ICM,Resources
x,19,r_C2_KM,Resources
x,20,r_SC_DF,Resources
x,21,r_C2_DF_IM,Resources
x,22,r_C2_KM_IM,Resources
x,23,r_SC_KM,Resources
x,24,r_DF_LS,Resources
x,25,r_C2_SC,Resources
x,26,r_C2_KM_DF,Resources
x,27,r_SC_KM_IM,Resources
x,28,r_IM_ICM,Resources
x,29,r_C2_KM_DF_IM,Resources
x,30,r_SC_DF_IM,Resources
x,31,r_DF_IM_LS,Resources
x,32,r_KM_DF_IM_LS,Resources
x,33,r_KM_DF_LS,Resources
x,34,r_KM_IM_ICM_LS,Resources
x,35,r_C2_SC_DF,Resources
x,36,r_C2_SC_IM,Resources
x,37,r_SC_KM_DF,Resources
x,38,r_C2_LS,Resources
x,39,r_SC_KM_DF_IM,Resources
x,40,r_KM_ICM_LS,Resources
x,41,r_C2_IM_LS,Resources
x,42,r_SC_LS,Resources
x,43,r_C2_SC_KM,Resources
x,44,r_C2_KM_IM_LS,Resources
x,45,r_C2_SC_DF_IM,Resources
x,46,r_KM_DF_ICM,Resources
x,47,r_C2_SC_KM_IM,Resources
x,48,r_C2_SC_KM_DF_IM,Resources
x,49,r_IM_ICM_LS,Resources
x,50,r_DF_ICM,Resources
x,51,r_C2_ICM,Resources
x,52,r_ICM_LS,Resources
x,53,r_C2_DF_IM_LS,Resources
x,54,r_C2_KM_ICM,Resources
x,55,r_KM_DF_IM_ICM,Resources
x,56,r_C2_KM_IM_ICM,Resources
x,57,r_C2_SC_KM_DF,Resources
x,58,r_C2_KM_LS,Resources
x,59,r_SC_IM_LS,Resources
x,60,r_SC_KM_LS,Resources
x,61,r_C2_DF_LS,Resources
x,62,r_SC_KM_DF_IM_LS,Resources
x,63,r_C2_KM_IM_ICM_LS,Resources
x,64,r_C2_KM_DF_IM_LS,Resources
x,65,r_SC_KM_IM_LS,Resources
x,66,r_SC_KM_DF_LS,Resources
x,67,r_C2_KM_DF_LS,Resources
x,68,r_C2_SC_KM_LS,Resources
x,69,C2,Domain
x,70,SCADA,Domain
x,71,KMS,Domain
x,72,DF,Domain
x,73,IM,Domain
x,74,ICM,Domain
x,75,LS,Domain
