ID,c2,scada,kms,df,im,icm,ls,searchstring,results,Performed 6-10-2021
1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",962000,
2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",754000,
3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",278000,
4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",196000,
5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",39200,
6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",39100,
7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",38700,
8,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",18000,
9,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" ""Library Science""",11800,
10,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",11400,
11,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",10500,
12,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",7230,
13,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",5600,
14,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" ""Intellectual Capital Management"" -""Library Science""",4690,
15,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",4310,
16,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",3970,
17,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",2750,
18,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",1820,
19,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" ""Intellectual Capital Management"" -""Library Science""",1560,
20,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",1400,
21,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",1200,
22,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",887,
23,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",819,
24,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",751,
25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" -""Supervisory control and data acquisition"" -""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" ""Library Science""",462,
26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") ""Supervisory control and data acquisition"" -""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",440,
27,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,"((""C2"" OR ""C4"" OR ""C3"") ""Command and Control"") -""Supervisory control and data acquisition"" ""Knowledge Management"" (""Data Fusion"" OR ""Sensor Fusion"" OR ""Information Fusion"") -""Information Management"" -""Intellectual Capital Management"" -""Library Science""",349,
28,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"-""c2"" -""c3"" -""c4"" -""Command and Control"" ""Supervisory control and data acquisition"" ""Knowledge Management"" -""Data Fusion"" -""Sensor Fusion"", -""Information Fusion"" ""Information Management"" -""Intellectual Capital Management"" -""Library Science""",327,
