Source,Target,Type,Id,Weight
0,1, Undirected,0,628
0,2, Undirected,1,2908
0,3, Undirected,2,5577
0,4, Undirected,3,6428
0,5, Undirected,4,14
0,6, Undirected,5,108
1,2, Undirected,6,1230
1,3, Undirected,7,1558
1,4, Undirected,8,3378
1,6, Undirected,10,36
2,3, Undirected,11,9973
2,4, Undirected,12,294849
2,5, Undirected,13,7295
2,6, Undirected,14,22612
3,4, Undirected,15,14836
3,5, Undirected,16,17
3,6, Undirected,17,777
4,5, Undirected,18,1936
4,6, Undirected,19,51358
5,6, Undirected,20,128
0,0, Undirected,21,38700
1,1, Undirected,22,39100
2,2, Undirected,23,754000
3,3, Undirected,24,18000
4,4, Undirected,25,962000
5,5, Undirected,26,4690
6,6, Undirected,27,196000
